geography type,code,description,2013,2014,2015,2016,2017
Statistical_Area_2,100100,North Cape,24,15,18,18,6
Statistical_Area_3,100200,Rangaunu Harbour,24,9,12,12,15
Statistical_Area_4,100300,Inlets Far North District,0,0,0,0,0
Statistical_Area_5,100400,Karikari Peninsula,9,9,9,18,15
Statistical_Area_6,100500,Tangonge,6,6,6,12,3
Statistical_Area_7,100600,Ahipara,9,12,6,9,6
Statistical_Area_8,100700,Kaitaia East,27,15,27,21,18
Statistical_Area_9,100800,Kaitaia West,48,60,69,60,60
Statistical_Area_10,100900,Rangitihi,3,6,6,9,12
Statistical_Area_11,101000,Oruru-Parapara,3,6,3,6,3
Statistical_Area_12,101100,Taumarumaru,18,15,21,6,21
Statistical_Area_13,101200,Herekino-Takahue,3,12,9,3,9
Statistical_Area_14,101300,Peria,6,12,9,9,3
Statistical_Area_15,101400,Taemaro-Oruaiti,6,3,9,6,6
Statistical_Area_16,101500,Whakapaku,6,3,9,6,6
Statistical_Area_17,101600,Hokianga North,6,9,9,12,12
Statistical_Area_18,101700,Kohukohu-Broadwood,6,3,6,9,6
Statistical_Area_19,101800,Whakarara,9,9,15,6,9
Statistical_Area_20,101900,Kaeo,12,9,12,12,12
Statistical_Area_21,102000,Omahuta Forest-Horeke,18,9,6,9,15
