Period,Status,Sex,Age,Population
2018,F,female,14,459300
2018,F,female,15,149030
2018,F,female,16,150780
2018,F,female,17,153640
2018,F,female,25,831600
2018,F,female,23,172390
2018,F,female,27,185700
2018,F,female,23,167160
2018,F,female,37,152750
2018,F,female,42,151790
2018,F,male,7,483700
2018,F,male,2,157250
2018,F,male,18,158080
2018,F,male,19,161710
2018,F,male,32,844400
2018,F,male,21,187220
2018,F,male,28,192600
2018,F,male,33,159840
2018,F,male,39,143010
2018,F,male,44,140260
